ID,Expression,HalideResult,HalideTime
1,( <= ( max ( + ( min ( min ( - ( / ( - ( min ( max ( min ( * v1 num8 ) num2004 ) num5 ) ( + ( + v2 v3 ) num255 ) ) ( max ( * ( max ( min ( / v4 num8 ) num249 ) num0 ) num8 ) num4 ) ) num252 ) num1 ) ( / ( - ( - ( + v2 v3 ) ( max ( * ( max ( min ( / v4 num8 ) num249 ) num0 ) num8 ) num4 ) ) num248 ) num252 ) ) ( - ( + num0 ( / ( + v5 num251 ) num252 ) ) num1 ) ) num1 ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 num8 ) num249 ) num0 ) num8 ) num4 ) ) num255 ) num252 ) num0 ) ( + ( / ( + v5 num251 ) num252 ) num0 ) ) ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 num8 ) num249 ) num0 ) num8 ) num4 ) ) num255 ) num252 ) num0 ) ( + ( / ( + v5 num251 ) num252 ) num0 ) ) ),0,2945
2,( != ( / ( + ( - v0 v1 ) num20 ) num9 ) num0 ),0,445
3,( == ( * v0 num2 ) ( - ( + ( * v0 num2 ) ( + ( * ( - ( / ( min ( + ( * ( min ( / ( min ( + ( * v1 num2 ) num1 ) v2 ) num2 ) v1 ) num2 ) num1 ) v2 ) num2 ) v1 ) num4 ) num8 ) ) num1 ) ),0,241
4,( == ( min ( max ( max ( - ( max ( min v0 num2002 ) num3 ) num3 ) v1 ) ( + v2 v1 ) ) ( + ( + ( max ( min v0 num2002 ) num3 ) v3 ) num3 ) ) ( min ( max ( max ( - ( max ( min v0 num2002 ) num3 ) num3 ) v1 ) ( + v2 v1 ) ) ( + ( + ( max ( min v0 num2002 ) num3 ) v3 ) num3 ) ) ),1,96
5,( != ( + ( / ( - ( max v0 num0 ) v1 ) num3 ) num3 ) num0 ),0,479
6,( == ( + ( / ( - ( / ( + ( + v0 v1 ) num39 ) num32 ) ( / ( - v1 num8 ) num32 ) ) num36 ) num1 ) ( + ( / ( - ( / ( + ( + v0 v1 ) num39 ) num32 ) ( / ( - v1 num8 ) num32 ) ) num36 ) num1 ) ),1,76
7,( == ( min ( * v0 num8 ) ( + ( * ( + ( / v1 num8 ) ( * v2 num63 ) ) num8 ) num485 ) ) ( min ( * v0 num8 ) ( + ( * ( + ( / v1 num8 ) ( * v2 num63 ) ) num8 ) num485 ) ) ),1,52
8,( == ( - ( + ( * v0 num8 ) ( * v1 num33 ) ) ( min ( - ( * v2 num8 ) ( * v3 num65 ) ) ( + ( + ( min ( * v1 num33 ) num32 ) ( * v0 num8 ) ) num23 ) ) ) ( - ( + ( * v0 num8 ) ( * v1 num33 ) ) ( min ( - ( * v2 num8 ) ( * v3 num65 ) ) ( + ( + ( min ( * v1 num33 ) num32 ) ( * v0 num8 ) ) num23 ) ) ) ),1,95
9,( == ( min ( max ( min ( + ( / v0 num8 ) v1 ) num249 ) num0 ) ( + ( max ( min ( / v0 num8 ) num256 ) num7 ) num114 ) ) ( min ( max ( min ( + ( / v0 num8 ) v1 ) num249 ) num0 ) ( + ( max ( min ( / v0 num8 ) num256 ) num7 ) num114 ) ) ),1,63
10,( == ( + ( max ( min ( / ( + v0 v1 ) num8 ) num249 ) num0 ) ( * v2 num4 ) ) ( + ( max ( min ( / ( + v0 v1 ) num8 ) num249 ) num0 ) ( * v2 num4 ) ) ),1,49
11,( == ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) ( + ( + ( / v1 num8 ) ( * v2 num32 ) ) num31 ) ) ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) ( + ( + ( / v1 num8 ) ( * v2 num32 ) ) num31 ) ) ),1,63
12,( >= ( - numneg15 ( max v0 numneg13 ) ) ( - ( + ( - numneg15 ( max v0 numneg13 ) ) ( + ( max v0 numneg13 ) num17 ) ) num1 ) ),0,69
13,( == num0 ( - ( + num0 ( + ( * ( min ( - ( - ( max ( / ( + ( + v0 v1 ) num23 ) num8 ) num249 ) ( * v2 num8 ) ) ( min ( / v1 num8 ) num4 ) ) num3 ) num2 ) num10 ) ) num1 ) ),0,193
14,( == ( - ( * ( / ( max ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) num249 ) num0 ) num8 ) num2 ) ( + ( * v2 num2 ) ( + ( * v3 num17 ) ( + ( * v4 num9 ) v5 ) ) ) ) ( - ( * ( / ( max ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) num249 ) num0 ) num8 ) num2 ) ( + ( * v2 num2 ) ( + ( * v3 num17 ) ( + ( * v4 num9 ) v5 ) ) ) ) ),1,105
15,( == ( + ( - ( * v0 num4 ) ( / ( - ( + v1 v2 ) num1 ) num8 ) ) v3 ) ( + ( - ( * v0 num4 ) ( / ( - ( + v1 v2 ) num1 ) num8 ) ) v3 ) ),1,59
16,( == ( + ( * ( / ( + ( min ( - ( * v0 num4 ) num8 ) v1 ) num15 ) num4 ) num4 ) ( + ( * v2 num16 ) v3 ) ) ( + ( * ( / ( + ( min ( - ( * v0 num4 ) num8 ) v1 ) num15 ) num4 ) num4 ) ( + ( * v2 num16 ) v3 ) ) ),1,80
17,( == ( + ( * v0 num56 ) ( * ( / ( + v1 v2 ) num250 ) num64 ) ) ( + ( * v0 num56 ) ( * ( / ( + v1 v2 ) num250 ) num64 ) ) ),1,43
18,( == ( max ( + ( / ( - num112 v0 ) num4 ) ( * ( / ( + ( + v1 v2 ) num251 ) num63 ) num8 ) ) ( + ( - ( * ( / ( + ( + v1 v2 ) num251 ) num63 ) num8 ) ( / v0 num4 ) ) num28 ) ) ( max ( + ( / ( - num112 v0 ) num4 ) ( * ( / ( + ( + v1 v2 ) num251 ) num63 ) num8 ) ) ( + ( - ( * ( / ( + ( + v1 v2 ) num251 ) num63 ) num8 ) ( / v0 num4 ) ) num28 ) ) ),1,99
